Sno,Krushak_Odisha,Source_A,Source_B,Source_C,Source_D
1,Dhoni,MS,MS,MS,MS
2,Sehwag,Sehwag,Viru,Sehwag,Sehwag
3,Gambhir,Gautam,Gautam,Gautam,Gautam
4,Sachin,Sachin,Sachin,Sachin,Sachin
5,Yuvaraj,Yuvaraj,Yuvaraj,Yuvaraj,Yuvaraj
6,Raina,Raina,Suresh,Raina,Raina
7,Kohli,Virat,Kohli,Kohli,Virat
8,Nehra,Ashish,Ashish,Ashish,Ashish
9,Yusuf,Yusuf,Yusuf,Yusuf,Yusuf
10,Munaf,Munaf,Patel,Patel,Patel
11,Sreeshant,Sreeshant,Sreeshant,Sreeshant,Sreeshant
12,Chawla,Chawla,Piyush,Chawla,Piyush
13,Ashwin,Ashwin,Ashwin,Ravi,Ashwin
14,Dravid,Dravid,Dravid,Rahul,Dravid
15,Ganguly,Ganguly,Ganguly,Ganguly,Saurav
16,Agarkar,Agarkar,Agarkar,Agarkar,Ajit
17,Karthik,Karthik,Karthik,Karthik,Karthik
18,Kumble,Kumble,Kumble,Anil,Anil
19,Irfan,Irfan,Irfan,Pathan,Irfan
20,Uthappa,Uthappa,Uthappa,Robin,Uthappa
21,Kaif,Kaif,Kaif,Kaif,Kaif
22,Laxman,Laxman,VVS,VVS,Laxman
23,Mongia,Mongia,Naman,Dinesh,Mongia
